stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
494,482,Marí Mayans (482),,38.928722,1.429745,70,https://eivissa.tib.org/web/cie/parades/-/parada/482
495,558,Can Cifre (558),,38.904697,1.402093,1679,https://eivissa.tib.org/web/cie/parades/-/parada/558
496,559,Can Fita (559),,38.909374,1.402248,1619,https://eivissa.tib.org/web/cie/parades/-/parada/559
497,556,Ca na Perica (556),,38.904514,1.395505,1723,https://eivissa.tib.org/web/cie/parades/-/parada/556
498,557,"Riu Minyo, 26 (557)",,38.904804,1.398542,1980,https://eivissa.tib.org/web/cie/parades/-/parada/557
499,554,Club de Campo (554),,38.902664,1.388487,1803,https://eivissa.tib.org/web/cie/parades/-/parada/554
500,555,Bar sa Carroca (555),,38.90397,1.392348,1699,https://eivissa.tib.org/web/cie/parades/-/parada/555
501,552,Can Noguera (552),,38.89989,1.382705,1586,https://eivissa.tib.org/web/cie/parades/-/parada/552
502,553,es Torrent (553),,38.90165,1.385601,1604,https://eivissa.tib.org/web/cie/parades/-/parada/553
503,563,CS can Misses (563),,38.915817,1.417561,12340,https://eivissa.tib.org/web/cie/parades/-/parada/563
504,562,pou de cas Mut (562),,38.91028,1.407687,1976,https://eivissa.tib.org/web/cie/parades/-/parada/562
505,561,Can Pereira (561),,38.911533,1.406347,1635,https://eivissa.tib.org/web/cie/parades/-/parada/561
506,560,Bar Isidro (560),,38.911045,1.403309,2187,https://eivissa.tib.org/web/cie/parades/-/parada/560
507,573,urb. Vista Alegre (573),,38.893345,1.283124,2130,https://eivissa.tib.org/web/cie/parades/-/parada/573
508,572,H. Tarida Playa (572),,38.937824,1.238571,61,https://eivissa.tib.org/web/cie/parades/-/parada/572
509,571,s'Espartar (571),,38.931786,1.258251,1831,https://eivissa.tib.org/web/cie/parades/-/parada/571
510,6008,Can Sanç (6008),,39.04139,1.433626,1611,https://eivissa.tib.org/web/cie/parades/-/parada/6008
511,6009,Can Reial (2) (6009),,39.028126,1.430121,2095,https://eivissa.tib.org/web/cie/parades/-/parada/6009
512,6010,Ca na Poua (6010),,38.96306,1.445866,1743,https://eivissa.tib.org/web/cie/parades/-/parada/6010
513,518,sa Gravada (518),,38.955727,1.502823,2104,https://eivissa.tib.org/web/cie/parades/-/parada/518
515,519,pont de sa Vinya (519),,38.952095,1.494093,1975,https://eivissa.tib.org/web/cie/parades/-/parada/519
516,6012,Centre Cultural Jesús (6012),,38.93181,1.447563,2185,https://eivissa.tib.org/web/cie/parades/-/parada/6012
517,512,Can Bassetes (512),,38.977615,1.514861,1630,https://eivissa.tib.org/web/cie/parades/-/parada/512
518,6013,Bartomeu Rosselló 28-32 (6013),,38.910583,1.431999,12340,https://eivissa.tib.org/web/cie/parades/-/parada/6013
519,513,urb. Valverde (513),,38.96872,1.512506,2160,https://eivissa.tib.org/web/cie/parades/-/parada/513
520,514,encreuament Cala Llonga (514),,38.957382,1.511705,1601,https://eivissa.tib.org/web/cie/parades/-/parada/514
521,515,Bar Madison (515),,38.95507,1.51774,1599,https://eivissa.tib.org/web/cie/parades/-/parada/515
522,524,Ca Nostra (524),,38.93665,1.453058,1752,https://eivissa.tib.org/web/cie/parades/-/parada/524
525,526,Can Pa (526),,38.916183,1.227621,69,https://eivissa.tib.org/web/cie/parades/-/parada/526
526,6003,Can Roig (6003),,39.012726,1.427506,2088,https://eivissa.tib.org/web/cie/parades/-/parada/6003
528,6004,Can Casa Llarga - Santa Eulària (6004),,39.021378,1.428265,2127,https://eivissa.tib.org/web/cie/parades/-/parada/6004
529,520,Can Porxo (520),,38.94949,1.488784,1783,https://eivissa.tib.org/web/cie/parades/-/parada/520
530,6005,Can Reial (6005),,39.02617,1.429555,1938,https://eivissa.tib.org/web/cie/parades/-/parada/6005
531,521,Roca Llisa (521),,38.944088,1.488466,2138,https://eivissa.tib.org/web/cie/parades/-/parada/521
532,6006,CEIP Balansat (6006),,39.04934,1.435874,1982,https://eivissa.tib.org/web/cie/parades/-/parada/6006
533,522,can Fornet (522),,38.943253,1.462432,1924,https://eivissa.tib.org/web/cie/parades/-/parada/522
534,6007,CEIP Balansat (6007),,39.04995,1.435885,1925,https://eivissa.tib.org/web/cie/parades/-/parada/6007
535,523,es Pí (523),,38.940372,1.457455,1631,https://eivissa.tib.org/web/cie/parades/-/parada/523
543,541,Can Muson (541),,38.972576,1.387234,1603,https://eivissa.tib.org/web/cie/parades/-/parada/541
544,540,Can Agusti (540),,38.976284,1.382041,1683,https://eivissa.tib.org/web/cie/parades/-/parada/540
